,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
0,Rennes,Paris SG,5.25,4.22,1.64,1,0,2022-2023,1,0,1611.408412930292,1625.1889977939557,1749.615654389437,1735.8350695257732,-2,1,1,-5,3,0.8840000000000001,-138.20724145914505,34,47,-13,-1.1116340038018566,-0.6867288840464318,-0.0645426834594915
1,Monaco,AC Ajaccio,1.4,4.73,8.75,7,1,2022-2023,1,0,1649.0382501686124,1653.480749751365,1431.3132799220093,1426.8707803392567,1,0,-1,3,0,-1.33,217.7249702466031,34,15,19,1.5697512594844214,-0.37523030642873473,0.5465312034011058
2,Angers,Clermont,2.39,3.35,3.11,1,2,2022-2023,0,1,1396.3130772946927,1388.9661158582617,1490.747905853133,1498.094867289564,-2,-1,3,-3,2,2.7279999999999998,-94.43482855844036,8,25,-17,-1.404862014490362,-0.033647162838761915,0.06357920654815657
3,Montpellier,Nantes,2.48,3.29,3.02,0,3,2022-2023,0,1,1451.055937035972,1442.7396270457668,1510.1156796489565,1518.4319896391617,0,-1,1,3,7,1.1099999999999994,-59.059742612984564,17,18,-1,-0.09188367881463362,0.06603586352289785,2.0962965878305413
4,Reims,Nice,2.52,3.25,2.98,0,0,2022-2023,0,0,1535.2792420580015,1536.2036217177463,1567.4874281266632,1566.5630484669184,1,0,-1,-2,-1,-0.011999999999999567,-32.20818606866169,24,24,0,0.022165995024108365,-0.1570953940142904,-0.5653700581702926
5,Toulouse,Brest,1.86,3.7,4.32,1,1,2022-2023,0,0,1448.7790626422131,1449.0241353059646,1457.2954643589392,1457.0503916951877,1,-1,0,5,3,0.03399999999999981,-8.516401716726023,22,14,8,0.6983400173695663,0.4349645647624692,1.4423323239517245
6,Lille,Troyes,1.48,4.54,7.11,5,1,2022-2023,1,0,1605.7377327141664,1611.6435440423106,1454.6335277711398,1448.7277164429956,1,1,-2,0,-5,-1.7759999999999994,151.10420494302662,31,18,13,1.120590254419123,-0.11604117102973108,-1.1936015031986964
7,Lyon,Strasbourg,1.61,4.17,5.53,1,2,2022-2023,0,1,1573.3987829362761,1561.3888999777773,1502.6045293335949,1514.6144122920937,1,0,-1,-3,-7,-2.63,70.79425360268124,25,12,13,1.098837590741844,-0.6275447088722053,-1.969027130469062
8,Marseille,Lorient,1.43,4.91,7.17,3,1,2022-2023,1,0,1656.2021302778912,1662.4648608714251,1519.7474560555281,1513.4847254619942,4,-2,-2,8,-4,-2.154,136.4546742223631,39,32,7,0.784664039051909,2.196277757976372,-0.009363284560990982
9,Lens,Auxerre,1.34,5.31,9.77,1,0,2022-2023,1,0,1648.8323538044735,1653.6472593289077,1449.300462514683,1444.4855569902488,3,1,-4,6,-10,-4.824,199.53189128979056,41,13,28,2.4713214923640883,1.0041302451594787,-1.59809057311522
10,Lorient,Monaco,4.43,3.98,1.79,2,2,2022-2023,0,0,1516.0020962175483,1519.7474560555281,1652.7836100065922,1649.0382501686124,-3,1,2,-5,3,1.9300000000000002,-136.78151378904386,31,33,-2,-0.2760028483186422,-1.5682113154841097,0.17241006911836043
11,Nice,Montpellier,1.86,3.64,4.4,6,1,2022-2023,1,0,1560.3455972634501,1567.4874281266632,1458.197767899185,1451.055937035972,1,0,-1,0,-3,-1.2479999999999998,102.14782936426514,21,17,4,0.3916151314287843,0.23089533701545636,-0.7616940016054532
12,Paris SG,Angers,1.19,7.85,15.38,2,0,2022-2023,1,0,1747.2451736515236,1749.615654389437,1398.683558032606,1396.3130772946927,4,0,-4,12,0,-4.448,348.5616156189176,44,8,36,3.0793102589728822,0.9450970407992055,1.6789059553766905
