Année;Cote_A;Cote_null;Cote_B;Nb_BM;Equipe_A;Equipe_B;Score_A;Score_B
2021-2022;2.16;3.41;3.56;17;St Etienne;Auxerre;1;2
2021-2022;2.43;3.14;3.20;17;Auxerre;St Etienne;1;1
2021-2022;2.08;3.68;3.47;17;Angers;Montpellier;2;0
2021-2022;1.65;4.55;4.73;17;Brest;Bordeaux;2;4
2021-2022;3.61;4.16;1.92;17;Clermont;Lyon;1;2
2021-2022;3.32;3.88;2.10;17;Lens;Monaco;2;2
2021-2022;3.64;3.81;1.99;17;Lille;Rennes;2;2
2021-2022;2.22;3.56;3.27;17;Lorient;Troyes;1;1
2021-2022;2.19;3.27;3.63;17;Marseille;Strasbourg;4;0
2021-2022;2.47;3.59;2.83;17;Nantes;St Etienne;1;1
2021-2022;1.14;10.10;16.77;17;Paris SG;Metz;5;0
2021-2022;4.01;3.78;1.91;17;Reims;Nice;2;3
2021-2022;2.22;3.12;3.50;17;Auxerre;Sochaux;1;0
2021-2022;2.68;2.96;2.88;17;Paris FC;Sochaux;1;2
2021-2022;2.43;3.39;3.02;17;Bordeaux;Lorient;0;0
2021-2022;1.48;5.24;5.94;17;Lyon;Nantes;3;2
2021-2022;2.26;3.59;3.17;17;Metz;Angers;1;0
2021-2022;1.23;6.91;12.20;17;Monaco;Brest;4;2
2021-2022;8.62;6.73;1.30;17;Montpellier;Paris SG;0;4
2021-2022;1.71;4.14;4.76;17;Nice;Lille;1;3
2021-2022;1.94;3.71;4.03;17;Rennes;Marseille;2;0
2021-2022;2.01;3.51;3.90;17;St Etienne;Reims;1;2
2021-2022;1.44;4.72;7.53;17;Strasbourg;Clermont;1;0
2021-2022;3.81;3.65;2.00;17;Troyes;Lens;1;3
2021-2022;5.78;4.62;1.54;16;Nantes;Rennes;2;1
2021-2022;1.52;4.42;6.60;16;Nice;St Etienne;4;2
2021-2022;1.17;8.36;15.75;16;Paris SG;Troyes;2;2
2021-2022;3.76;3.62;2.01;16;Lorient;Marseille;0;3
2021-2022;2.39;3.45;3.01;16;Angers;Bordeaux;4;1
2021-2022;1.64;4.17;5.26;16;Clermont;Montpellier;2;1
2021-2022;3.39;3.41;2.21;16;Reims;Lens;1;2
2021-2022;8.77;6.21;1.31;16;Metz;Lyon;3;2
2021-2022;3.99;3.68;1.93;16;Brest;Strasbourg;0;1
2021-2022;3.72;3.66;2.03;16;Lille;Monaco;1;2
2021-2022;2.38;3.56;2.97;16;Marseille;Lyon;0;3
2021-2022;3.22;3.53;2.22;16;Bordeaux;Nice;0;1
2021-2022;2.85;3.27;2.62;16;Brest;Clermont;2;0
2021-2022;2.19;3.29;3.61;16;Lorient;Reims;1;2
2021-2022;1.33;5.55;9.59;16;Monaco;Angers;2;0
2021-2022;1.81;3.90;4.30;16;Montpellier;Metz;2;2
2021-2022;3.47;3.29;2.24;16;Troyes;Lille;3;0
2021-2022;1.30;5.99;9.71;16;Rennes;St Etienne;2;0
2021-2022;1.64;4.16;5.23;16;Lens;Nantes;2;2
2021-2022;3.63;3.78;2.02;16;Strasbourg;Paris SG;3;3
2021-2022;4.20;3.45;1.95;16;Reims;Marseille;0;1
2021-2022;2.75;3.18;2.81;16;Lille;Strasbourg;1;0
2021-2022;2.14;3.28;3.76;16;Clermont;Angers;2;2
2021-2022;2.67;3.27;2.79;16;Metz;Brest;0;1
2021-2022;2.12;3.64;3.44;16;Nantes;Bordeaux;5;3
2021-2022;1.49;4.49;7.01;16;Nice;Troyes;1;0
2021-2022;1.36;5.35;8.50;16;Rennes;Lorient;5;0
2021-2022;1.25;6.90;10.56;16;Paris SG;Lens;1;1
2021-2022;4.55;4.14;1.73;16;St Etienne;Monaco;1;4
2021-2022;1.38;5.63;7.58;16;Lyon;Montpellier;5;2
2021-2022;6.19;4.71;1.50;16;Angers;Paris SG;0;3
2021-2022;4.22;4.21;1.78;16;Brest;Lyon;2;1
2021-2022;1.48;4.45;7.32;16;Lens;Montpellier;2;0
2021-2022;1.57;4.24;6.15;16;Marseille;Nantes;3;2
2021-2022;2.57;3.35;2.85;16;Strasbourg;Rennes;2;1
2021-2022;2.43;3.42;2.99;16;Bordeaux;St Etienne;2;2
2021-2022;1.57;4.06;6.43;16;Lorient;Metz;1;0
2021-2022;1.81;3.75;4.58;16;Monaco;Nice;1;0
2021-2022;3.01;3.04;2.64;16;Reims;Lille;2;1
2021-2022;2.31;3.27;3.33;16;Troyes;Clermont;0;1
2021-2022;1.42;5.29;6.98;16;Paris SG;Marseille;2;1
2021-2022;1.38;5.30;7.68;16;Lyon;Bordeaux;6;1
2021-2022;2.83;3.08;2.78;16;Metz;Clermont;1;1
2021-2022;2.38;3.27;3.21;16;Montpellier;Reims;0;0
2021-2022;2.01;3.40;4.07;16;Nantes;Angers;1;1
2021-2022;4.01;3.24;2.08;16;Troyes;Strasbourg;1;1
2021-2022;1.65;4.03;5.43;16;Nice;Lorient;2;1
